time_s,soc,temp_c,temp_opt_c,brightness,screen_on,cpu_util,net_mode,gps_on,bg_intensity,bg_on,P_obs_W,P_model_W,S_pred
0.0,0.9426563444764472,32.06758608684835,32.06758608684835,0.2898673137867734,1.0,0.310284446220904,4g,0.0,0.3076923076923077,0.0,0.7700622664911965,0.49079687527218074,0.9426563444764472
60.0,0.9413876962638652,34.53571377141214,32.12532170848123,0.3538271367132089,1.0,0.3341189901906194,wifi,1.0,0.7692307692307693,0.0,0.6797013372128903,0.5991454703028805,0.9416920407028767
120.0,0.9402374985919628,31.84988679965397,32.114824322729795,0.6586144946597362,1.0,0.1928472872960448,wifi,0.0,0.38461538461538464,0.0,0.6127498323025451,0.5333408429381667,0.9408338292233961
180.0,0.939229691327088,32.70267792481005,32.06665386398873,0.8536779044807803,1.0,0.3636729366084675,wifi,0.0,0.5384615384615384,0.0,0.8187788768218763,0.7091222216784042,0.9396938743803339
240.0,0.9378716703823908,26.882686073370746,32.02724167047332,0.5470686333524087,1.0,0.7,wifi,0.0,0.15384615384615385,0.0,0.8098463630070745,0.8921273850267575,0.9382608714153977
300.0,0.9366088604803664,27.63585543671564,32.150048262170905,0.7428000988184184,1.0,0.3709856436860317,5g,0.0,0.46153846153846156,0.0,0.6127492682918528,0.9347118548833319,0.936755733751274
360.0,0.9356464073777924,35.18678164166764,32.29386004223448,0.4232285127597733,1.0,0.3230587658918292,4g,0.0,0.8461538461538461,0.0,0.4058219017241621,0.6188397836828406,0.9357563414795075
420.0,0.9349532836801784,32.94101305252056,32.411524225922854,0.6014612745481264,1.0,0.4996321991958128,4g,0.0,0.23076923076923078,0.0,0.5745261076050321,0.780853525184601,0.934492318543505
480.0,0.9339949482727592,35.801900705664394,32.761166320470174,1.0,1.0,0.1,wifi,1.0,0.23076923076923078,0.0,0.84633,0.8596461431852845,0.9330909756315969
540.0,0.9325446194072512,21.6456409656198,32.79386572629752,0.6257102000142162,1.0,0.3824364517594001,wifi,0.0,0.6153846153846154,0.0,0.6723189182630028,0.600349794630137,0.9321116835815696
600.0,0.9314783275772164,34.33455574593312,32.626466551906454,0.4456361844486489,1.0,0.5491952595912231,wifi,0.0,0.6923076923076923,0.0,0.7306328411929927,0.6520288312519895,0.9310516414698433
660.0,0.9302468320893486,31.873170267146683,32.38722779203351,0.4584661068762438,1.0,0.3665729142219343,wifi,0.0,0.38461538461538464,0.0,0.5614055571496557,0.477963357009125,0.9302783058960032
720.0,0.9293261362159756,28.34901042495009,32.19148698850109,0.5743175706920584,1.0,0.230150284311818,4g,0.0,0.23076923076923078,0.0,0.4095373739537933,0.6178667190837018,0.929282541695628
780.0,0.9286772450777154,31.310653372605238,31.75395797783275,0.522937280627648,1.0,0.3170276017876872,wifi,0.0,0.46153846153846156,0.0,0.40364066696677575,0.49778518067989497,0.9284873843566714
840.0,0.9280145743418218,29.78507742982524,31.36611684776174,0.6561983735470065,1.0,0.2065950720269109,wifi,0.0,0.15384615384615385,0.0,0.5984138906133466,0.5130755370522524,0.9276742724311569
900.0,0.927054567056692,29.536497604383047,31.078655135409647,0.4614180809478691,1.0,0.4349399813149875,4g,0.0,0.5384615384615384,0.0,0.4666260052339104,0.6756965088280682,0.926609757498809
960.0,0.9262946563138076,29.62083176244221,30.813596340324658,0.9105719551678652,1.0,0.2340723186788584,4g,0.0,0.38461538461538464,0.0,1.1100447841893888,0.818770332400109,0.9253268956012031
1020.0,0.924525093249176,30.97578512718457,30.581396570153455,0.5739713891264631,1.0,0.3145493947489077,4g,0.0,0.46153846153846156,0.0,0.44952488537160584,0.6636607176547943,0.9242920723421799
1080.0,0.9237939961915635,29.22483285554361,30.334748622042575,0.6151609116387452,1.0,0.1984257432731832,wifi,0.0,0.3076923076923077,0.0,0.4120337357682309,0.5031146682216143,0.9235116177731449
1140.0,0.9231362818087272,29.16024968678818,30.132945755406396,0.498611364925774,1.0,0.2293442541572515,wifi,0.0,0.46153846153846156,0.0,0.3653784760595062,0.45829326580205065,0.9228036993051195
1200.0,0.922547735963162,24.58828699439923,29.956091924748538,0.6621815131196009,1.0,0.5213034325424328,wifi,0.0,0.07692307692307693,0.0,0.60389092708708,0.6840405428614815,0.9217510059616172
1260.0,0.9216196347901654,31.8543155073202,29.81139333602847,0.5903609028928374,1.0,0.4906707338971372,wifi,0.0,0.3076923076923077,0.0,0.5444090902911202,0.6344571591770259,0.9207776031595001
1320.0,0.9207070994969032,27.44534032185245,29.41512989693974,0.6139305329037757,1.0,0.4475256459537697,5g,0.0,0.6153846153846154,0.0,1.3101251420917588,0.9282037613546883,0.9193654848938464
1380.0,0.9186696463538084,31.920032054570843,29.09091435586714,0.7952618252962205,1.0,0.1,wifi,0.0,0.46153846153846156,0.0,0.5349018579712685,0.6078463016774888,0.9184471485902242
1440.0,0.9177889224132004,27.63194442104047,28.825647094989563,0.7142695020653576,1.0,0.4455785730019815,wifi,0.0,0.46153846153846156,0.0,0.59254567518154,0.6780522955049179,0.9174285930188939
1500.0,0.9168618642972294,22.513270657166707,29.32245205779954,0.5435557622025577,1.0,0.3443216286634775,wifi,0.0,0.3076923076923077,0.0,0.4161104651236351,0.5069086445729865,0.9166589375218183
1560.0,0.9162041911767134,31.55807439044445,29.015087032934254,0.6518778617999388,1.0,0.3453522435497463,5g,0.0,0.5384615384615384,0.0,0.5437555544187642,0.8784693893966292,0.9153339087607623
1620.0,0.9153202401128258,34.38838410949255,29.131162624277053,0.3750715816324261,1.0,0.1,wifi,0.0,0.5384615384615384,0.0,0.3038557718471599,0.38243768282061913,0.9147556201061896
